file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\ExpressionSpreadsheetFormatterSpreadsheetFormatParserTokenVisitorFormatterNoTextSpreadsheetFormatterTest.java,walkingkooka.spreadsheet.format.ExpressionSpreadsheetFormatterSpreadsheetFormatParserTokenVisitorFormatterNoTextSpreadsheetFormatterTest$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\parser\SpreadsheetParserTokenVisitorLocalDateTime.java,walkingkooka.spreadsheet.parser.SpreadsheetParserTokenVisitorLocalDateTime,class,15,18,3,15,19,3,0,14,134,0.89542484,0.23529412,0.77205884,17,1,1,0,11,5,17,0,0,0,9,0,0,9,0,0,0,0,4,68,5,0,0,0,0,8,8,23,1,11,0,0,0,0,73,16,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\engine\BasicSpreadsheetEngineChangesAddReferencesExpressionVisitor.java,walkingkooka.spreadsheet.engine.BasicSpreadsheetEngineChangesAddReferencesExpressionVisitor,class,7,9,2,7,5,2,0,4,4,0.6666667,1.0,1.0,4,1,1,0,1,2,4,0,0,0,3,0,0,3,0,0,2,0,1,22,1,0,1,0,0,0,0,3,0,3,1,0,0,0,35,16,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetGroupParserTokenTest.java,walkingkooka.spreadsheet.parser.SpreadsheetGroupParserTokenTest,class,12,13,1,12,12,3,0,16,66,0.0,0.0,0.0,12,0,10,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,54,6,0,0,0,0,11,0,14,6,14,0,0,0,0,46,17,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\conditionalformat\SpreadsheetConditionalFormattingRule.java,walkingkooka.spreadsheet.conditionalformat.SpreadsheetConditionalFormattingRule,class,8,13,5,8,26,1,0,16,77,0.69473684,0.6282051,0.7051282,19,4,13,6,0,0,13,0,0,0,5,1,1,4,0,0,5,0,10,83,14,0,3,0,0,5,0,5,1,5,1,0,0,0,62,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\meta\SpreadsheetMetadataPropertyNameNamedColorTest.java,walkingkooka.spreadsheet.meta.SpreadsheetMetadataPropertyNameNamedColorTest,class,6,7,1,6,9,3,0,9,36,0.0,0.0,0.0,9,0,5,1,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,5,0,2,0,2,0,0,0,1,25,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\SpreadsheetErrorConversionExceptionTest.java,walkingkooka.spreadsheet.SpreadsheetErrorConversionExceptionTest,class,5,5,0,5,4,1,0,4,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,19,2,0,0,0,0,2,0,2,0,2,1,0,0,1,19,17,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatBracketCloseSymbolParserToken.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatBracketCloseSymbolParserToken,class,4,24,20,4,4,4,0,2,6,0.0,0.0,0.0,4,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\parser\SpreadsheetCellRangeParserTokenSpreadsheetParserTokenVisitorTest.java,walkingkooka.spreadsheet.parser.SpreadsheetCellRangeParserTokenSpreadsheetParserTokenVisitorTest,class,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatNonSymbolParserTokenTestCase.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatNonSymbolParserTokenTestCase,class,4,26,22,4,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1025,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\SpreadsheetFormatterConverterSpreadsheetFormatterContextTest.java,walkingkooka.spreadsheet.format.SpreadsheetFormatterConverterSpreadsheetFormatterContextTest,class,7,8,1,7,21,1,0,28,210,0.0,0.0,0.0,21,0,17,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,69,14,0,0,0,0,3,8,4,0,4,0,0,0,0,41,17,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\expression\FunctionParameterConverterSpreadsheetExpressionEvaluationContext.java,walkingkooka.spreadsheet.expression.FunctionParameterConverterSpreadsheetExpressionEvaluationContext,class,18,21,3,18,57,1,0,49,1108,0.9479167,0.915942,0.95652175,48,2,45,2,0,1,46,0,0,0,4,0,0,2,0,2,2,0,4,174,47,0,2,3,0,4,2,7,1,6,1,0,0,0,160,16,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\pattern\SpreadsheetDateTimeParsePatternsSpreadsheetFormatParserTokenVisitorTest.java,walkingkooka.spreadsheet.format.pattern.SpreadsheetDateTimeParsePatternsSpreadsheetFormatParserTokenVisitorTest,class,5,5,0,5,4,2,0,12,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,18,0,2,0,2,0,0,0,0,19,17,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\engine\SpreadsheetMetadataStampingSpreadsheetEngineSaveWatcherDeleteWatcher.java,walkingkooka.spreadsheet.engine.SpreadsheetMetadataStampingSpreadsheetEngineSaveWatcherDeleteWatcher,class,1,4,3,1,3,1,0,0,3,0.6666667,0.0,0.0,3,1,1,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,16,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatParsersTest.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatParsersTest,class,17,18,1,17,732,2,0,120,267546,0.0,0.0,0.0,732,0,701,31,0,0,701,0,0,0,0,0,0,0,0,0,0,0,2085,2206,16,0,0,0,0,9,12,6,1,6,0,0,0,1,161,17,0
